"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0411661162931757,6,32,3.9296875,"Dicarboxylic acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0043648","aroF aroC dapA aroE dapD dapE"
0.0540924420051568,4,15,5.58888888888889,"Sulfur compound binding","https://amigo.geneontology.org/amigo/term/GO:1901681","ilvG dxs ilvI mrdA"
0.0591991310914212,3,8,7.859375,"Chorismate biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009423","aroF aroC aroE"
0.0591991310914212,3,8,7.859375,"Transketolase or transaldolase activity","https://amigo.geneontology.org/amigo/term/GO:0016744","ilvG dxs ilvI"
0.0634702426821221,26,334,1.6314870259481,"Anion binding","https://amigo.geneontology.org/amigo/term/GO:0043168","dppF ilvG engC dxs argD metC sucC mukB ftsK aspC metB hisC serC ilvI hscA bioD2 APL_1125 pstB APL_1422 thrC poxA modF mrdA cbiO dnaK hisG"
0.0695528355697481,2,3,13.9722222222222,"Acetolactate synthase complex","https://amigo.geneontology.org/amigo/term/GO:0005948","ilvG ilvI"
0.0695528355697481,2,3,13.9722222222222,"Homoserine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0009092","metC metB"
0.0695528355697481,2,3,13.9722222222222,"Peptidyl-lysine modification","https://amigo.geneontology.org/amigo/term/GO:0018205","poxA lipA"
0.0695528355697481,2,3,13.9722222222222,"Transsulfuration","https://amigo.geneontology.org/amigo/term/GO:0019346","metC metB"
0.0695528355697481,2,3,13.9722222222222,"Homocysteine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0050667","metC metB"
0.0695528355697481,2,3,13.9722222222222,"Aminotransferase class V domain","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000192","serC APL_1125"
0.0695528355697481,2,3,13.9722222222222,"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000277","metC metB"
0.0695528355697481,2,3,13.9722222222222,"Thiamine pyrophosphate enzyme, TPP-binding","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011766","ilvG ilvI"
0.0695528355697481,2,3,13.9722222222222,"Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR012001","ilvG ilvI"
0.0695528355697481,2,3,13.9722222222222,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain","https://www.ebi.ac.uk/interpro/entry/pfam/PF02775","ilvG ilvI"
0.0695528355697481,2,3,13.9722222222222,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain","https://www.ebi.ac.uk/interpro/entry/pfam/PF02776","ilvG ilvI"
